Collocation	Score (likelihood_ratio)
('.', 'It', '’', 's')	26412.59832682986
('’', 's', 'of', 'the')	25181.46629592772
('New', 'York', '’', 's')	24407.811648154173
('’', 's', 'New', 'York')	24404.33282816517
('“', 'It', '’', 's')	23872.718508626156
('It', '’', 's', 'not')	23761.364754856317
('’', 's', '.', 'In')	23679.18027380505
('It', '’', 's', 'going')	23672.77583095576
('"', 'It', '’', 's')	23577.66059716729
('It', '’', 's', 'a')	23575.83447981899
('It', '’', 's', 'the')	23515.053892458356
('It', '’', 's', 'been')	23511.15884523661
('It', '’', 's', 'really')	23456.882030645924
('It', '’', 's', 'just')	23426.613095164594
('.', 'He', '’', 's')	23421.71167695154
('.”', 'It', '’', 's')	23414.713072925904
('?', 'It', '’', 's')	23413.385739884365
('It', '’', 's', 'also')	23409.519968682715
('It', '’', 's', 'important')	23398.851093016674
('It', '’', 's', 'clear')	23390.765630011672
('It', '’', 's', 'like')	23385.16111595332
('It', '’', 's', 'got')	23384.141703946203
('It', '’', 's', 'for')	23383.120321330545
(':', 'It', '’', 's')	23379.452080637828
('!', 'It', '’', 's')	23362.75436527033
('It', '’', 's', 'very')	23360.516890540974
('It', '’', 's', 'hard')	23357.222162785343
('It', '’', 's', 'something')	23354.17296030347
('It', '’', 's', 'made')	23351.799164127
('’', 's', '.', '“')	23346.499295136833
('It', '’', 's', 'definitely')	23345.648311277233
('It', '’', 's', 'completely')	23344.903433576255
('.', 'That', '’', 's')	23340.653159205238
('It', '’', 's', 'an')	23339.28765610565
('—', 'It', '’', 's')	23339.122956026833
('It', '’', 's', 'all')	23336.155638998272
(').', 'It', '’', 's')	23332.37673942011
('It', '’', 's', 'his')	23331.80471336312
('It', '’', 's', 'at')	23327.69159988431
('It', '’', 's', 'bald')	23327.260088402505
('It', '’', 's', 'delaying')	23327.260088402505
('It', '’', 's', 'dirtier')	23327.260088402505
('It', '’', 's', 'unbelievable')	23327.260088402505
('Tonatiuh', 'It', '’', 's')	23327.260088402505
('It', '’', 's', 'amazing')	23327.250820421832
('It', '’', 's', 'crazy')	23326.451628048344
('It', '’', 's', 'interesting')	23322.670789325395
('It', '’', 's', 'set')	23322.653963887584
('It', '’', 's', 'similar')	23321.873450823674
('It', '’', 's', 'absurd')	23321.776568219895
('It', '’', 's', 'pristine')	23321.776568219895
('It', '’', 's', 'time')	23320.176752340616
('It', '’', 's', 'total')	23318.17231636625
('It', '’', 's', 'scary')	23317.498670565947
('It', '’', 's', 'obvious')	23316.7549083437
('It', '’', 's', 'practical')	23316.7549083437
('It', '’', 's', 'quoted')	23316.7549083437
('It', '’', 's', 'rarely')	23316.7549083437
('It', '’', 's', 'slated')	23316.14677902856
('video', 'It', '’', 's')	23315.984691136822
('%.', 'It', '’', 's')	23315.635049629116
('It', '’', 's', 'launching')	23315.635049629112
('It', '’', 's', 'mine')	23315.635049629112
('It', '’', 's', 'remarkable')	23315.635049629112
('It', '’', 's', 'unlikely')	23315.635049629112
('It', '’', 's', 'her')	23314.640079296893
('It', '’', 's', 'Only')	23314.47268463847
('It', '’', 's', 'part')	23314.228008060345
('It', '’', 's', 'brilliant')	23313.65180956445
('It', '’', 's', 'light')	23313.222308942022
('It', '’', 's', 'expensive')	23313.033807155472
('It', '’', 's', 'potentially')	23313.033807155472
('It', '’', 's', 'everything')	23312.73870117816
('It', '’', 's', 'where')	23312.606009063868
('It', '’', 's', 'late')	23312.09691693054
('It', '’', 's', 'one')	23311.727361388177
('It', '’', 's', 'truly')	23311.587180566097
('It', '’', 's', 'called')	23310.97439573467
('It', '’', 's', 'about')	23310.826824519852
('It', '’', 's', 'good')	23310.246546936854
('It', '’', 's', 'sales')	23309.53304008964
('It', '’', 's', 'more')	23309.3307970004
('It', '’', 's', 'back')	23306.668102992782
('It', '’', 's', '(')	23306.413125801006
('it', '’', 's', 'not')	23243.256384897297
('but', 'it', '’', 's')	23205.315396991948
('that', 'it', '’', 's')	23196.492248482064
(',', 'it', '’', 's')	23165.483155182737
('it', '’', 's', 'going')	23154.2211925878
('“', 'it', '’', 's')	23141.41414713091
('because', 'it', '’', 's')	23115.262079842396
('But', 'it', '’', 's')	23049.096111264742
('if', 'it', '’', 's')	23045.488765077585
('.', 'There', '’', 's')	23039.480933744584
